year,atmospheric_pco2_ppm,oae_cdr_gtco2_yr,total_alkalinity_umol_kg,oae_alkalinity_anomaly_umol_kg,surface_ocean_ph,surface_ocean_ph_without_oae,oae_ph_increment
2137,323.9068265068504,0.95,2314.268121446515,14.268121446515256,8.131373590288678,8.129546742509257,0.0018268477794212146
2138,323.2124156452723,0.95,2314.272304195255,14.27230419525488,8.131974849953828,8.130147801511713,0.001827048442114787
2139,322.49515278971654,0.95,2314.276282948931,14.276282948931305,8.132597050300413,8.130769839163717,0.0018272111366961497
2140,321.80884515178565,0.95,2314.280067656501,14.280067656501162,8.133193539309291,8.131366176282038,0.0018273630272531705
2141,321.102053031855,0.95,2314.283667781705,14.28366778170474,8.133808968207129,8.131981487651332,0.0018274805557965124
2142,320.41661054806025,0.95,2314.28709232673,14.287092326730269,8.134406941308777,8.132579356212212,0.0018275850965654428
2143,319.72149107509233,0.95,2314.290349854724,14.29034985472408,8.1350144827424,8.133186820001699,0.0018276627407018964
2144,319.0178369983116,0.95,2314.2934485112028,14.293448511202929,8.135630646207405,8.133802931151026,0.00182771505637902
2145,318.3439437061378,0.95,2314.296396044422,14.296396044422028,8.136221871772268,8.134394110050236,0.0018277617220316955
2146,317.6631910526605,0.95,2314.29919982475,14.29919982474973,8.13682021521777,8.134992429365973,0.0018277858517983248
2147,316.9739635477483,0.95,2314.301866863097,14.301866863097276,8.13742713925298,8.135599351725213,0.0018277875277661337
2148,316.310290294119,0.95,2314.3044038284497,14.304403828449733,8.138012657894594,8.136184873569029,0.0018277843255649628
2149,315.62645396072116,0.95,2314.306817064542,14.30681706454193,8.138617074381266,8.13678931978902,0.0018277545922451566
2150,314.9690045388554,0.95,2314.309112605721,14.309112605721094,8.139199255584765,8.137371533531992,0.001827722052773595
2151,314.29198143025894,0.95,2314.311296192036,14.311296192035867,8.13979986804838,8.137972203297313,0.001827664751067104
2152,313.6461358760888,0.95,2314.3133732835895,14.313373283589417,8.14037388561353,8.138546277077157,0.001827608536371983
2153,312.99394695309115,0.95,2314.3153490741925,14.315349074192536,8.140954584612107,8.139127049117242,0.001827535494864918
2154,312.5468230254631,0.8479859827577679,2314.2420552080184,14.24205520801853,8.141343817902873,8.139525828947917,0.0018179889549561068
2155,312.1024304335323,0.8167359827577679,2314.1493080560435,14.149308056043532,8.141728642884964,8.139922671988636,0.0018059708963278354
2156,311.752495310626,0.7640701972935711,2314.022275248769,14.022275248768823,8.14202515576094,8.140235515536288,0.0017896402246524445
2157,311.8047604846769,0.5283507194327519,2313.727738146093,13.727738146093113,8.141940968716254,8.140188770557893,0.001752198158360585
2158,311.84329929585505,0.4971007194327519,2313.424537917586,13.424537917585926,8.141867947602183,8.140154306606947,0.0017136409952360765
2159,311.88687930133017,0.46585071943275197,2313.1130970688796,13.113097068879686,8.141789370032024,8.140115339015487,0.0016740310165364036
2160,311.9395174332335,0.434600719432752,2312.793817499764,12.79381749976397,8.1417016988922,8.14006827839732,0.0016334204948798003
2161,312.0198878920748,0.403350719432752,2312.4670815091445,12.467081509144327,8.141588302892755,8.139996437476107,0.0015918654166480195
2162,312.1121557778906,0.372100719432752,2312.1332527509885,12.13325275098867,8.141463385820352,8.13991398191004,0.0015494039103121082
2163,312.19342402031884,0.36869283439502587,2311.8131937708285,11.813193770828526,8.141350056492076,8.139841374036983,0.0015086824550927247
2164,312.18439628293316,0.39994283439502587,2311.5317721211595,11.531772121159372,8.141322276701747,8.139849438907735,0.0014728377940116388
2165,312.1235239859052,0.42113236048160385,2311.279689956057,11.279689956057235,8.141344529503245,8.13990382415405,0.0014407053491947153
2166,312.10640232281787,0.40069075886796596,2311.0248387339025,11.024838733902634,8.14132735703562,8.139919122879258,0.0014082341563614875
2167,312.06949245065175,0.3944606288968459,2310.7778258206145,10.777825820614273,8.141328855994832,8.139952105489094,0.0013767505057380447
2168,312.04377052599443,0.38868266111960115,2310.5386021319864,10.53860213198644,8.141321352976734,8.139975092600546,0.0013462603761880132
2169,312.01026051283634,0.3832941681342727,2310.3070747838437,10.307074783843738,8.141321787405092,8.140005042261983,0.0013167451431090882
2170,311.96420839333814,0.37824220204566106,2310.0831164051538,10.08311640515382,8.141334393482758,8.140046206095493,0.0012881873872654381
2171,311.94188390032286,0.37348202140193093,2309.866572867232,9.86657286723236,8.141326743377478,8.140066162844697,0.0012605805327812192
2172,311.91292268252914,0.3689757997844139,2309.6572696843605,9.657269684360612,8.141325946138757,8.140092054303652,0.0012338918351044725
2173,311.8668161705064,0.36469153795367154,2309.4550173006105,9.455017300610495,8.141341372169514,8.140133278110747,0.001208094058766207
2174,311.82143874920246,0.36060214746100105,2309.259615443549,9.25961544354896,8.141357023334852,8.140173855290525,0.001183168044326166
2175,311.7812714617966,0.35668467869380815,2309.070856696763,9.070856696762648,8.141368866803592,8.140209777837926,0.0011590889656662995
2176,311.736240038686,0.35291967058490253,2308.8885294189545,8.888529418954537,8.141385882158497,8.140250055352668,0.001135826805828799
2177,311.6942637216812,0.3492906028055234,2308.712420117,8.712420117000091,8.14140096193979,8.140287604909334,0.00111335703045512
2178,311.6591950871212,0.3457834342857521,2308.5423153632078,8.542315363207551,8.141410632369821,8.14031897867945,0.0010916536903717855
2179,311.6060665028,0.34238621445305184,2308.378003332597,8.378003332597187,8.141437198018458,8.140366515522073,0.0010706824963850892
2180,311.5635725643092,0.33908875572522756,2308.219275023869,8.2192750238693,8.141454967650255,8.140404542155922,0.0010504254943324298
2181,311.5018022982085,0.33588235760139207,2308.0659252175096,8.0659252175098,8.141490674826416,8.140459826798375,0.001030848028040765
2182,311.45227161289347,0.3327595742168861,2307.9177532158815,7.917753215881527,8.14151609761013,8.140504163955582,0.001011933654549324
2183,311.4043049227279,0.32971401851045723,2307.7745634029134,7.774563402913307,8.141540761481517,8.140547107041565,0.0009936544399522518
2184,311.3587754396215,0.0,2307.3953934714978,7.395393471497537,8.14153314155356,8.14058787357255,0.0009452679810113551
2185,311.3067822199042,0.0,2307.034715875849,7.03471587584894,8.14153366621725,8.140634434087506,0.0008992321297434103
2186,311.2584093118835,0.0,2306.6916287341096,6.691628734109824,8.141533194250327,8.140677758735652,0.0008554355146745962
2187,311.2044501931135,0.0,2306.36527414972,6.365274149719729,8.141539861088297,8.14072609362201,0.0008137674662869188
2188,311.14239315315547,0.0,2306.0548360662274,6.05483606622717,8.14155581588989,8.140781691517548,0.0007741243723415892
2189,311.07672346830884,0.0,2305.7595382267236,5.759538226723438,8.141576945793881,8.140840536697924,0.000736409095956958
2190,311.02427477477175,0.0,2305.478642232796,5.478642232795999,8.141588074122485,8.140887542709814,0.0007005314126704576
2191,310.9585860292724,0.0,2305.211445698148,5.211445698147845,8.141612821763188,8.140946424701376,0.0006663970618117077
2192,310.8827872863206,0.0,2304.957280492266,4.957280492265896,8.141648304925614,8.141014382722227,0.0006339222033862058
2193,310.80623017258694,0.0,2304.7155110697468,4.715511069746705,8.141686063491564,8.14108303551145,0.0006030279801141347
2194,310.731004080669,0.0,2304.485532881102,4.485532881101904,8.14172414720627,8.141150509241578,0.0005736379646918977
2195,310.6696231567272,0.0,2304.2667708610697,4.2667708610695945,8.141751256225286,8.141205575286817,0.000545680938468962
2196,310.60164117765703,0.0,2304.0586779906516,4.058677990651646,8.141785658634767,8.141266574476465,0.0005190841583022632
2197,310.52874281787217,0.0,2303.860733929281,3.86073392928128,8.141825779994202,8.141331998151816,0.0004937818423851326
2198,310.44744494244617,0.0,2303.6724437137004,3.6724437137006123,8.141874686767583,8.141404976080816,0.0004697106867670442
2199,310.3636917436173,0.0,2303.4933365202946,3.493336520294698,8.141926987368482,8.141480175696774,0.0004468116717077919
2200,310.2824246643682,0.0,2303.3229644877874,3.3229644877872526,8.141978188623339,8.141553160217283,0.0004250284060560716
