year,sector,energy_related,gross_emissions_gtco2,dirty_stock_fraction,annual_transition_investment_usd_tn,cumulative_transition_investment_usd_tn,learning_factor,natural_clean_retirement_fraction,early_retirement_fraction
2031,Power,True,9.7571710615691,0.6443473255841942,1.1436741896286782,4.84924325990934,0.6801904208991758,0.024623484906380038,0.06973373670082697
2031,Industry,True,7.711187047250263,0.7794813818290914,0.748471144051588,2.994290846436465,0.7707701104986564,0.03360123784847684,0.026948326534352897
2031,Road transport,True,4.2508853028187525,0.6414167731429266,0.685635116153813,2.925633589389059,0.660855563857757,0.04923026980494113,0.04780700412624916
2031,Buildings,True,2.5554505180125893,0.7960941148396667,0.4076271410567622,1.6183689590896224,0.8052368412043794,0.034116415755122344,0.02269986328326943
2031,Aviation and shipping,True,2.2013368275142793,0.9007809780231986,0.22994343173794002,0.8625071719728823,0.9365160017148847,0.027557456956769925,0.0
2031,Other energy,True,3.2342779103515156,0.7351993338822721,0.5068391664988272,2.076281297241288,0.8054044535741346,0.04029146886112236,0.030338574479052714
2031,Land-use CO2,False,2.8093881380694596,0.7285994898820438,0.43780981087239174,1.833674875961344,0.9083173282236089,0.02654073305788516,0.04108176879662576
2032,Power,True,8.421980260492195,0.5453782020461386,1.1532886698117397,6.00253192972108,0.6539456225853669,0.021478244186139805,0.07749087935191575
2032,Industry,True,7.170881984468354,0.7125169195255153,0.7985501000155267,3.7928409464519914,0.7435644344409569,0.031179255273163658,0.03578520703041241
2032,Road transport,True,3.6433949133732284,0.5393291939983345,0.6865347646552388,3.6121683540442975,0.6289870644833888,0.04276111820952844,0.05932646093506366
2032,Buildings,True,2.3869215648174262,0.7323809743767103,0.43738005825609816,2.0557490173457205,0.7704834194429245,0.03184376459358667,0.03186937586936978
2032,Aviation and shipping,True,2.1731903859764032,0.8687849057391395,0.2586871409788787,1.121194312951761,0.9074265944168133,0.03199607228405906,0.0
2032,Other energy,True,2.9519296911116983,0.6586485806799433,0.5306470290339831,2.6069283262752707,0.7780179203017932,0.036759966694113605,0.03979078650821524
2032,Land-use CO2,False,2.5486837005474627,0.6571736165883459,0.45491223724853563,2.2885871132098794,0.8935428933110848,0.024286649662734795,0.047139223630963095
2033,Power,True,7.205819362078989,0.457390518782695,1.1499298966283744,7.152461826349454,0.6331447956442503,0.018179273401537955,0.06980840986190574
2033,Industry,True,6.548903957045173,0.6385495237610572,0.8552148223420796,4.648055768794071,0.7209343478072503,0.028500676781020612,0.04546671898343742
2033,Road transport,True,2.9971007706134603,0.434344427227736,0.6781056532642425,4.29027400730854,0.604119929008641,0.035955279599888965,0.06902948717070952
2033,Buildings,True,2.1897687294038723,0.661056545878889,0.47134023418566184,2.5270892515313825,0.7417021608079196,0.029295238975068413,0.04202918952275303
