case,year,temperature_c_above_1750_fair_reference,gmsl_additional_since_2026_m,gmsl_rate_mm_yr,thermal_additional_m,glacier_additional_m,greenland_additional_m,antarctica_additional_m,absolute_climate_driven_component_state_m
high,2182,1.941202121720004,0.8788318926308927,3.956660409103918,0.3191728291289029,0.1336837161836278,0.21910995107567127,0.20686539624269062,1.0988318926308926
high,2183,1.932598562597807,0.8827418466708004,3.9099540399076815,0.32061348356909725,0.13410077608409232,0.2199770008991926,0.20805058611841826,1.1027418466708003
high,2184,1.9337077008730004,0.8866458903606882,3.9040436898878372,0.3220514013891928,0.13451530523898036,0.22084328431357092,0.20923589941894405,1.1066458903606882
high,2185,1.96333658442819,0.8906636020394161,4.017711678727887,0.3235251761758039,0.13493869577949164,0.2217591807027296,0.21044054938139095,1.110663602039416
high,2186,1.923506878149682,0.894503629071491,3.8400270320748664,0.32494072908101873,0.1353431015135267,0.22260206580363334,0.21161773267331208,1.114503629071491
high,2187,1.9276064967249975,0.8983504802528286,3.8468511813376516,0.32635766513811426,0.13574628600176747,0.2234494708695638,0.21279705824338296,1.1183504802528286
high,2188,1.9434515990242993,0.9022533119166445,3.9028316638158866,0.3277918712275644,0.13615298171410944,0.2243220212639519,0.2139864377110186,1.1222533119166445
high,2189,1.950095271364472,0.9061735077849677,3.920195868323262,0.32923084756168236,0.13655942717018987,0.2252035661264793,0.21517966692661628,1.1261735077849677
high,2190,1.9681209216673599,0.9101588492605752,3.9853414756074734,0.33068997925699206,0.13697009862799903,0.2261143596527534,0.2163844117228308,1.1301588492605752
high,2191,1.988028606261894,0.9142172681164793,4.058418855904078,0.33217175331470816,0.13738558679918889,0.22705799406696592,0.21760193393561628,1.1342172681164793
high,2192,1.9611786094370756,0.9181518257352117,3.934557618732404,0.3336128427471386,0.13778762408978523,0.22795063196996435,0.21880072692832353,1.1381518257352117
high,2193,1.9572062993373631,0.9220591784976164,3.9073527624047255,0.33504431937933876,0.138185218752731,0.2288334274707896,0.21999621289475696,1.1420591784976164
