year,co2_ppm,co2_forcing_w_m2,non_co2_forcing_w_m2,total_forcing_w_m2,surface_warming_c,deep_ocean_warming_c,earth_energy_imbalance_w_m2,ocean_heat_uptake_w_m2
2170,280.0,0.03836861306161274,0.2,0.23836861306161275,0.3997230088545071,0.6674525957641205,-0.25608874889141264,-0.25016652600834277
2171,280.0,0.03836861306161274,0.2,0.23836861306161275,0.3989140967476496,0.6656120551200122,-0.2550881246152299,-0.2492025723031356
2172,280.0,0.03836861306161274,0.2,0.23836861306161275,0.3981099606915284,0.6637786120458055,-0.2540934083138079,-0.24824078782543652
2173,280.0,0.03836861306161274,0.2,0.23836861306161275,0.39731015197832775,0.6619522491150215,-0.2531040449355787,-0.24728157556452662
2174,280.0,0.03836861306161274,0.2,0.23836861306161275,0.3965143364985896,0.6601329463212028,-0.2521196211871426,-0.24632522901824977
2175,280.0,0.03836861306161274,0.2,0.23836861306161275,0.39572226468890204,0.6583206817824886,-0.2511398283585591,-0.24537196093224725
2176,280.0,0.03836861306161274,0.2,0.23836861306161275,0.39493374936364006,0.6565154322612388,-0.2501644349012101,-0.24442192449951625
2177,280.0,0.03836861306161274,0.2,0.23836861306161275,0.3941486493624102,0.6547171735472315,-0.24919326619968865,-0.24347522899829702
2178,280.0,0.03836861306161274,0.2,0.23836861306161275,0.39336685748747247,0.6529258807402232,-0.24822618965039076,-0.24253195132737027
2179,280.0,0.03836861306161274,0.2,0.23836861306161275,0.3925882916056838,0.6511415284582727,-0.24726310365461815,-0.24159214451505903
