pathway,cdr_gtco2_yr,marginal_cost_usd_t,cost_without_scarcity_usd_t,learning_factor,scarcity_multiplier,resource_utilization_fraction,annual_spend_usd_tn,cumulative_before_gt,year
Enhanced silicate weathering,1.676470588235294,258.03384601059196,182.89443322041257,0.7556347602916078,2.073420182716849,0.8021890191881061,0.43258615360599234,11.755294117647058,2041
Ocean alkalinity / carbonate weathering,0.838235294117647,202.9807384662148,202.9807384662148,0.6238459077297184,1.0,0.0,0.17014561900844474,5.877647058823529,2041
Biochar,1.2573529411764706,157.9532977408282,155.41907647992807,0.9045640933318349,1.0316777657612515,0.04684623476812484,0.1986030434829531,9.801470588235293,2041
BiCRS / BECCS / durable biomass storage,2.514705882352941,153.705998976793,145.2850047303431,0.7372322273275553,1.1052624280806238,0.12492329271499958,0.3865253797798765,17.70294117647059,2041
Biological restoration,1.2573529411764706,90.42647739746931,59.94532481875281,0.9908874697921346,1.6350240120565938,0.38838818719110857,0.11369799731593568,18.801470588235293,2041
Direct/passive mineral carbonation,1.676470588235294,174.95426161435103,174.95426161435103,0.6869282701793878,1.0,0.0,0.29330567388288253,11.755294117647058,2041
DACCS,4.470588235294118,362.8012709372771,362.8012709372771,0.5058359811193274,1.0,0.0,1.6219350936019445,33.57941176470588,2042
Enhanced silicate weathering,1.788235294117647,283.58156548365184,182.58545871453907,0.7512208387791295,2.4428015252730395,0.8625874936262921,0.5071105641590009,13.431764705882351,2042
Ocean alkalinity / carbonate weathering,0.8941176470588235,202.21518944496756,202.21518944496756,0.6177215155597406,1.0,0.0,0.18080416938608862,6.7158823529411755,2042
Biochar,1.3411764705882354,157.89987740492364,155.18940024225782,0.8997791717137047,1.033880964533323,0.04996931708599984,0.21177160028425054,11.058823529411764,2042
BiCRS / BECCS / durable biomass storage,2.682352941176471,154.02074222089172,144.96331030658982,0.7314876840462466,1.1132178989287738,0.1332515122293329,0.4131379908983919,20.21764705882353,2042
Biological restoration,1.3411764705882354,90.42045631103711,59.93974706116849,0.9899578435280824,1.6350147760389295,0.38838473226361225,0.1212697884642145,20.058823529411764,2042
Direct/passive mineral carbonation,1.788235294117647,174.52447057031753,174.52447057031753,0.6815558821289692,1.0,0.0,0.3120908179610384,13.431764705882351,2042
DACCS,4.75,359.644693563948,359.644693563948,0.4992597782582251,1.0,0.0,1.7083122944287532,38.05,2043
Enhanced silicate weathering,1.9,335.24603313870506,182.29743062780128,0.7471061518257324,3.184980035870054,0.9237947172098104,0.6369674629635396,15.219999999999999,2043
Ocean alkalinity / carbonate weathering,0.95,201.50430480073038,201.50430480073038,0.612034438405843,1.0,0.0,0.19142908956069385,7.609999999999999,2043
Biochar,1.425,157.8603903818704,154.9726986825971,0.8952645558874398,1.0360961462409162,0.053092399403874835,0.2249510562941653,12.4,2043
BiCRS / BECCS / durable biomass storage,2.85,154.36852287017098,144.66386078742835,0.7261403712040779,1.1213082760342827,0.1415797317436662,0.43995029017998727,22.900000000000002,2043
Biological restoration,1.425,90.41004431911193,59.93417559094496,0.9890292651574932,1.6349139318368118,0.3883470068197972,0.1288343131547345,21.4,2043
Direct/passive mineral carbonation,1.9,174.12458943035577,174.12458943035577,0.6765573678794472,1.0,0.0,0.33083671991767594,15.219999999999999,2043
DACCS,4.75,356.7112622056665,356.7112622056665,0.493148462928472,1.0,0.0,1.6943784954769159,42.8,2044
Enhanced silicate weathering,1.9,345.22012865824223,182.02778370463426,0.7432540529233462,3.331319213622971,0.9310347116543023,0.6559182444506602,17.119999999999997,2044
Ocean alkalinity / carbonate weathering,0.95,200.84120931298324,200.84120931298324,0.606729674503866,1.0,0.0,0.19079914884733407,8.559999999999999,2044
Biochar,1.425,157.65546040076913,154.76776870149587,0.8909951812811637,1.0360961462409162,0.053092399403874835,0.22465903107109603,13.825000000000001,2044
BiCRS / BECCS / durable biomass storage,2.85,154.0885810923234,144.38391900958078,0.721141410885371,1.1213082760342827,0.1415797317436662,0.4391524561131217,25.750000000000004,2044
Biological restoration,1.425,87.72273052298166,59.92863137757764,0.9881052295962729,1.5790437321959172,0.3667053168886353,0.12500489099524886,22.825,2044
Direct/passive mineral carbonation,1.9,173.7509060030154,173.7509060030154,0.6718863250376924,1.0,0.0,0.3301267214057292,17.119999999999997,2044
DACCS,4.75,354.11732003443393,354.11732003443393,0.4877444167384041,1.0,0.0,1.6820572701635612,47.55,2045
Enhanced silicate weathering,1.9,356.8158468647218,181.78772323612256,0.7398246176588937,3.500401766122846,0.9382198264744277,0.6779501090429714,19.019999999999996,2045
Ocean alkalinity / carbonate weathering,0.95,200.2528449391798,200.2528449391798,0.6020227595134383,1.0,0.0,0.1902402026922208,9.509999999999998,2045
Biochar,1.425,157.4714903159559,154.5837986166826,0.8871624711808874,1.0360961462409162,0.053092399403874835,0.22439687370023714,15.250000000000002,2045
BiCRS / BECCS / durable biomass storage,2.85,153.83969002295953,144.1350279402169,0.7166969275038735,1.1213082760342827,0.1415797317436662,0.43844311656543467,28.600000000000005,2045
Biological restoration,1.425,85.46558793386532,59.92342775085576,0.9872379584759601,1.5321283371460326,0.34731316185774164,0.12178846280575809,24.25,2045
Direct/passive mineral carbonation,1.9,173.41877809088038,173.41877809088038,0.6677347261360049,1.0,0.0,0.32949567837267274,19.019999999999996,2045
DACCS,4.75,351.79506487366086,351.79506487366086,0.4829063851534601,1.0,0.0,1.671026558149889,52.3,2046
Enhanced silicate weathering,1.9,370.5030064437783,181.5714936163876,0.7367356230912516,3.6990216118198673,0.94535068330082,0.7039557122431787,20.919999999999995,2046
Ocean alkalinity / carbonate weathering,0.95,199.72448191911764,199.72448191911764,0.5977958553529412,1.0,0.0,0.18973825782316175,10.459999999999997,2046
Biochar,1.425,157.3046549837327,154.4169632844594,0.8836867350929045,1.0360961462409162,0.053092399403874835,0.22415913335181908,16.675,2046
BiCRS / BECCS / durable biomass storage,2.85,153.6157837188574,143.91112163611479,0.7126986006449066,1.1213082760342827,0.1415797317436662,0.43780498359874354,31.450000000000006,2046
Biological restoration,1.425,83.54257869473166,59.91852552627256,0.9864209210454273,1.4921677743428978,0.329834072820419,0.11904817463999262,25.675,2046
Direct/passive mineral carbonation,1.9,173.1200685585928,173.1200685585928,0.6640008569824102,1.0,0.0,0.32892813026132633,20.919999999999995,2046
DACCS,4.75,349.69494869354776,349.69494869354776,0.478531143111558,1.0,0.0,1.6610510062943518,57.05,2047
Enhanced silicate weathering,1.9,386.98137269077114,181.37486270462375,0.7339266100660533,3.937235856944963,0.9524278944110088,0.7352646081124651,22.819999999999993,2047
Ocean alkalinity / carbonate weathering,0.95,199.2453224391459,199.2453224391459,0.5939625795131671,1.0,0.0,0.18928305631718859,11.409999999999997,2047
Biochar,1.425,157.15208417133337,154.26439247206008,0.8805081765012519,1.0360961462409162,0.053092399403874835,0.22394171994415007,18.1,2047
BiCRS / BECCS / durable biomass storage,2.85,153.41240518368306,143.70774310094043,0.7090668410882219,1.1213082760342827,0.1415797317436662,0.4372253547734967,34.300000000000004,2047
Biological restoration,1.425,81.88429276053603,59.91389190243398,0.9856486504056639,1.4577166845437923,0.3139956408518707,0.11668511718376384,27.1,2047
