year,phase,gross_emissions_gtco2,planned_incremental_cdr_gtco2,feasible_incremental_cdr_gtco2,incremental_cdr_gtco2,net_anthropogenic_gtco2,natural_reservoir_flux_to_sinks_gtc,co2_ppm,land_binding,food_land_deficit_mha,cdr_land_mha,reservoir_permanent_gtc,reservoir_slow_gtc,reservoir_medium_gtc,reservoir_fast_gtc
2089,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.9013687234517076,340.65520087408237,False,0.0,364.1666666666667,79.64292993387664,64.13338074977003,-6.3228937815081565,-4.436425446461588
2090,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.9280719599381335,339.39175706646415,False,0.0,364.1666666666667,78.830427204619,63.1344832830909,-7.193766470063012,-4.436443765543458
2091,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.9541154854290541,338.1405805812628,False,0.0,364.1666666666667,78.01792447536135,62.138115309782805,-8.04112892450206,-4.436458286621242
2092,drawdown,1.5,15.2,15.2,15.2,-13.7,-0.979517131634791,336.9013690730777,False,0.0,364.1666666666667,77.20542174610371,61.14427042444686,-8.865615831290317,-4.436469797116231
2093,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.004294212136557,335.67382835175175,False,0.0,364.1666666666667,76.39291901684607,60.152942237904476,-9.66784474278402,-4.436478921197571
2094,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.0284635440727956,334.45767214853043,False,0.0,364.1666666666667,75.58041628758842,59.1641243771563,-10.44841653978607,-4.436486153628531
2095,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.052041467643687,333.2526218914094,False,0.0,364.1666666666667,74.76791355833078,58.177810485341226,-11.207915881614255,-4.43649188659557
2096,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.0750438638236757,332.0584064888244,False,0.0,364.1666666666667,73.95541082907313,57.193994221695526,-11.946911644019352,-4.4364964309750805
2097,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.0974861705928904,330.87476212098704,False,0.0,364.1666666666667,73.14290809981549,56.21266926151211,-12.66595734528111,-4.436500033191002
2098,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.1193833979351346,329.70143203828496,False,0.0,364.1666666666667,72.33040537055784,55.23382929609984,-13.365591560801269,-4.4365028885774205
2099,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.140750141800872,328.5381663662592,False,0.0,364.1666666666667,71.5179026413002,54.257468032742985,-14.046338326504161,-4.436505151970782
2100,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.1616005971936234,327.38472191674526,False,0.0,364.1666666666667,70.70539991204255,53.28357919466077,-14.708707531347024,-4.4365069461060616
2101,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.1819485705070698,326.240862004826,False,0.0,364.1666666666667,69.8928971827849,52.312156520967015,-15.353195299234045,-4.436508368272202
2102,drawdown,1.5,15.2,15.2,15.2,-13.7,-1.20180749121521,325.1063562712903,False,0.0,364.1666666666667,69.08039445352726,51.343193766629895,-15.980284360620187,-4.436509495587713
