year,net_anthropogenic_gtco2,co2_ppm,alpha_lifetime,iirf100_years,iirf100_capped_years,cumulative_net_emissions_gtc,airborne_gtc,cumulative_uptake_gtc
2094,-13.7,329.9857063025452,0.5994658481886758,46.51536449328831,46.51536449328831,635.9070231291579,110.36565448030348,525.5413686488544
2095,-13.7,328.9358034528981,0.596231783328649,46.4536277351558,46.4536277351558,632.1679401597256,108.13671073050266,524.031229429223
2096,-13.7,327.8971354334802,0.5929922793203969,46.39145051341738,46.39145051341738,628.4288571902933,105.93161852527842,522.497238665015
2097,-13.7,326.86937823044497,0.589748156101604,46.32884329764375,46.32884329764375,624.6897742208611,103.74968998323467,520.9400842376264
2098,-13.7,325.85221769090725,0.5865002030781095,46.26581621326201,46.26581621326201,620.9506912514288,101.5902581577961,519.3604330936327
2099,-13.7,324.8453492407105,0.5832491800810506,46.20237905211596,46.20237905211596,617.2116082819965,99.45267643802845,517.7589318439681
2100,-13.7,323.848477613902,0.5799958182941775,46.13854128257573,46.13854128257573,613.4725253125642,97.33631797431397,516.1362073382503
2101,-13.7,322.8613165932001,0.5767408211523423,46.074312059219416,46.074312059219416,609.733442343132,95.24057512736381,514.4928672157681
2102,-13.7,321.883588760787,0.5734848652121735,46.00970023210856,46.00970023210856,605.9943593736997,93.16485893915078,512.8295004345489
2103,-13.7,320.91502525880264,0.5702286009959524,45.94471435567923,45.94471435567923,602.2552764042674,91.10859862443809,511.14667777982936
2104,-13.7,319.9553655589577,0.5669726538096688,45.879362697269094,45.879362697269094,598.5161934348351,89.0712410816672,509.44495235316793
2105,-13.7,319.0043572407196,0.563717624536225,45.813653245300735,45.813653245300735,594.7771104654029,87.05225042204775,507.72486004335514
2106,-13.7,318.06175577756363,0.5604640904047313,45.74759371714027,45.74759371714027,591.0380274959706,85.05110751576763,505.98691998020297
2107,-13.7,317.12732433081067,0.5572126057367842,45.681191566649616,45.681191566649616,587.2989445265383,83.06730955431111,504.2316349722272
2108,-13.7,316.20083355060694,0.5539637026706148,45.6144539914499,45.6144539914499,583.559861557106,81.10036962793849,502.45949192916754
2109,-13.7,315.2820613836277,0.5507178918639335,45.547387939912696,45.547387939912696,579.8207785876738,79.14981631744166,500.6709622702321
2110,-13.7,314.370792887116,0.5474756631762713,45.480000117894775,45.480000117894775,576.0816956182415,77.21519329934728,498.8665023188942
2111,-13.7,313.4668200488898,0.5442374863315874,45.41229699523144,45.41229699523144,572.3426126488092,75.29605896379309,497.04655368501614
2112,-13.7,312.56994161297837,0.5410038115618614,45.34428481200249,45.34428481200249,568.603529679377,73.39198604435303,495.21154363502393
2113,-13.7,311.6799629105673,0.5377750702323612,45.275969584584054,45.275969584584054,564.8644467099447,71.5025612591344,493.3618854508103
2114,-13.7,310.7966956959558,0.5345516754492485,45.20735711149904,45.20735711149904,561.1253637405124,69.62738496251414,491.49797877799824
2115,-13.7,309.9199579872463,0.5313340226501357,45.13845297907783,45.13845297907783,557.3862807710801,67.76607080692385,489.6202099641563
2116,-13.7,309.04957391150793,0.5281224901781835,45.069262566940274,45.069262566940274,553.6471978016478,65.91824541413133,487.72895238751653
2117,-13.7,308.18537355417067,0.5249174398403025,44.99979105330954,44.99979105330954,549.9081148322156,64.08354805550435,485.8245667767112
2118,-13.7,307.32719281242396,0.5217192174499756,44.93004342016738,44.93004342016738,546.1690318627833,62.26163034077604,483.90740152200726
2119,-13.7,306.4748732524091,0.5185281533552077,44.86002445825988,44.86002445825988,542.429948893351,60.45215591486452,481.9777929784865
2120,-13.7,305.62826197000936,0.5153445629520738,44.78973877196244,44.78973877196244,538.6908659239188,58.65480016232984,480.03606576158893
2121,-13.7,304.7869842809742,0.5123122965475319,44.72238903653395,44.72238903653395,534.9517829544865,56.86876762850818,478.0830153259783
2122,-13.7,303.95077307181083,0.5093924771901759,44.65715907115449,44.65715907115449,531.2126999850542,55.0934912314544,476.1192087535998
2123,-13.7,303.1194281682496,0.5065566233281141,44.59344601618325,44.59344601618325,527.4736170156219,53.32854600119391,474.145071014428
2124,-13.7,302.2927909952243,0.5037838719188972,44.53080487375824,44.53080487375824,523.7345340461897,51.57359528286119,472.16093876332843
2125,-13.7,301.47072896320606,0.5010589472663896,44.468907412866436,44.468907412866436,519.9954510767574,49.82835758888649,470.1670934878709
2126,-13.7,300.65312597155304,0.49837067295987003,44.40751173243226,44.40751173243226,516.2563681073251,48.09258643760708,468.163781669718
2127,-13.7,299.8398767148616,0.49571088054025997,44.34643972855479,44.34643972855479,512.5172851378928,46.366058265651176,466.15122687224164
2128,-13.7,299.0308833244194,0.49307360857898036,44.28556042058366,44.28556042058366,508.7782021684605,44.648565297742394,464.1296368707181
2129,-13.7,298.2260534232482,0.4904545146505731,44.224777617761454,44.224777617761454,505.03911919902816,42.93991141755583,462.09920778147233
2130,-13.7,297.4252990225012,0.4878504435209819,44.164020800035416,44.164020800035416,501.30003622959583,41.239909824769974,460.06012640482584
2131,-13.7,296.6285359081211,0.48525911003219974,44.10323837785505,44.10323837785505,497.5609532601635,39.54838173294106,458.01257152722246
2132,-13.7,295.8356833053297,0.48267886622942063,44.04239271204506,44.04239271204506,493.82187029073117,37.865155657215,455.9567146335162
2133,-13.7,295.04666369458164,0.4801085303743692,43.981456435353074,43.981456435353074,490.08278732129884,36.19006702359686,453.892720297702
2134,-13.7,294.26140270540964,0.4775472614243681,43.920409736320764,43.920409736320764,486.3437043518665,34.52295794358462,451.8207464082819
2135,-13.7,293.4798290465436,0.47499446691292685,43.85923835437,43.85923835437,482.6046213824342,32.86367706581214,449.74094431662206
2136,-13.7,292.7018744497086,0.4724497353669575,43.79793210036838,43.79793210036838,478.86553841300184,31.21207945673141,447.6534589562704
2137,-13.7,291.9274736155918,0.46991278674635306,43.73648376534145,43.73648376534145,475.1264554435695,29.56802648590135,445.5584289576682
2138,-13.7,291.1565641567539,0.4673834361192091,43.674888315822045,43.674888315822045,471.3873724741372,27.93138570478851,443.45598676934867
2139,-13.7,290.38908653567756,0.46486156705564846,43.61314230082732,43.61314230082732,467.64828950470485,26.302030715243458,441.3462587894614
2140,-13.7,289.62498399789325,0.46234711215641616,43.551243415050784,43.551243415050784,463.9092065352725,24.67984102752734,439.2293655077452
2141,-13.7,288.8642025009231,0.4598400388182214,43.48919017734295,43.48919017734295,460.1701235658402,23.064701909459792,437.1054216563804
2142,-13.7,288.1066906400636,0.45734033884180797,43.426981694260014,43.426981694260014,456.43104059640785,21.45650422885505,434.9745363675528
2143,-13.7,287.3523995720417,0.4548480208590168,43.36461748636893,43.36461748636893,452.6919576269755,19.85514429144453,432.836813335531
2144,-13.7,286.60128293747226,0.4523631048271615,43.302097360839554,43.302097360839554,448.9528746575432,18.260523676253563,430.6923509812896
2145,-13.7,285.85329678289,0.4498856180388616,43.23942131816857,43.23942131816857,445.21379168811086,16.67254907007551,428.54124261803537
2146,-13.7,285.10839948297377,0.4474155922422468,43.17658948406513,43.17658948406513,441.4747087186785,15.0911321023533,426.38357661632523
2147,-13.7,284.36655166343724,0.44495306157421277,43.11360205987955,43.11360205987955,437.7356257492462,13.516189181477229,424.219436567769
2148,-13.7,283.62771612494294,0.4424980610885595,43.05045928669198,43.05045928669198,433.99654277981386,11.947641333253847,422.04890144656
2149,-13.7,282.8918577682969,0.44005062571892234,42.987161419458815,42.987161419458815,430.25745981038153,10.385414042094403,419.87204576828714
2150,-13.7,281.9526106509293,0.5629742979923016,45.7985944604438,45.7985944604438,426.5183768409492,8.391392411922908,418.12698442902627
2151,-13.7,281.0496783647273,0.5613582746293406,45.7657873072657,45.7657873072657,422.77929387151687,6.474467168316037,416.30482670320083
2152,-13.7,280.1730318051186,0.5596758062875962,45.731530742020176,45.731530742020176,419.04021090208454,4.613346522266815,414.42686437981774
2153,-13.7,279.31591775314195,0.5579470878552694,45.69622505034057,45.69622505034057,415.3011279326522,2.793693389920356,412.50743454273186
